2336,"I-77 & I-81, EXIT 77",Wytheville,VA,
2340,SR-8 & SR-13,Prentice,WI,
2557,"I-30, EXIT 77B",Royse City,TX,
2602,"I-75, EXIT 36",Franklin,OH,
2623,"I-90/I-39, EXIT 171B & US-14",Janesville,WI,
2626,"I-80, EXIT 211",Rawlins,WY,
2629,"I-295 & NJ TRNPK,  EXIT 2B",Penns Grove,NJ,
2635,"I-5, EXIT 278",Aurora,OR,
2638,US-789,Riverton,WY,
2640,"I-64, EXIT 50 & SR-127",Nashville,IL,
2644,"I-25/US-87, EXIT 235 & SR-52",Erie,CO,
2756,"I-77/SR-2, EXIT 170 & SR-14 E",Mineral Wells,WV,
2761,US-36 & SR-148,Hanover,KS,
2764,US-64/54 & SR-94,Hooker,OK,
2765,US-50 & US-287,Lamar,CO,
2772,"I- 80, EXIT 144; I-69, EXIT 357",Fremont,IN,
2779,I-84 & EXIT 208,Heyburn,ID,
2788,"I-91, EXIT 17 & SR-302",Wells River,VT,
2805,"I-15,  EXIT 31",Downey,ID,
2807,"I-24, EXIT 11",Clarksville,TN,
2811,"I-90, EXIT 40 & SR-34/SR-31",Weedsport,NY,
2817,"I-5/US-12, EXIT 72",Chehalis,WA,
2848,"I-10, EXIT 103",Tonopah,AZ,
2851,"I-8, EXIT 12",Yuma,AZ,
2862,"I-20, EXIT 171 & US-65",Tallulah,LA,
2864,I-49 BUS/SR-59,Neosho,MO,
2875,"I-25, EXIT 101 & US-50/SR-47",Pueblo,CO,
2883,"I-75, EXIT 341 & CR-484",Ocala,FL,
2885,US-84/SR-38,Bainbridge,GA,
2889,SR-157,Moulton,AL,
2891,"I-80, EXIT 21",Sparks,NV,
2895,I-77 EXIT 81,New Philadelphia,OH,
2896,US-12 & SR 128,Lewiston,ID,
2897,"I-80, EXIT 41",Lyman,WY,
2910,"I-29 & I- 94, EXIT 349",Fargo,ND,
2913,"I-40, EXIT 417 & SR-92",Dandridge,TN,
2915,"I-15, EXIT 80",Fort Hall,ID,
2917,US-29,Rustburg,VA,
2922,"I-40, EXIT 158",Albuquerque,NM,
2923,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,
2924,US-190,Jasper,TX,
2926,"I-81, EXIT 77 & SR-39",Harrisburg,PA,
2929,"I-94, EXIT 200 & SR- 3",Steele,ND,
2935,"I-295, EXIT 22",Jacksonville,FL,
2937,"I-75, EXIT 171",Walton,KY,
2956,"I-85, EXIT 39 I-77, EXIT 13",Charlotte,NC,
2963,"I-94, EXIT 258 & US-281",Jamestown,ND,
2967,"I-57, EXIT 71",Perrysburg,OH,
2968,"I-20,  EXIT 124",Monroe,LA,
2977,"I-90, EXIT 150 & SR-73",Kadoka,SD,
2982,"I-59/I-20, EXIT 52 & US-11/US-43/SR-7",Knoxville,AL,
3003,"I-20, EXIT 186",Delta,LA,
3008,"I-10, EXIT 283 & US-129",Live Oak,FL,
3022,"I-81, EXIT 5",Greencastle,PA,
3030,US-412,Cardwell,MO,
3064,US-50 & US-287,Lamar,CO,
3086,US-29,Madison Heights,VA,
3093,US-51,Merrill,WI,
3096,US-431/SR-210,Dothan,AL,
3118,"I-87, EXIT 42 & US-11",Champlain,NY,
3128,"I-75, EXIT 201 & SR-36",Jackson,GA,
3138,"I-70, EXIT 26 & US-50",Grand Junction,CO,
3139,"I-40,  EXIT 108",Calumet,OK,
3148,US-60 & SR-86,Neosho,MO,
3155,US-72/SR-157,Tuscumbia,AL,
3163,"I-44, EXIT 238",Tulsa,OK,
3164,"I-44, EXIT 222A",Tulsa,OK,
3165,"I-35, EXIT 211",Tonkawa,OK,
3167,US-78,Jasper,AL,
3171,"I-40, EXIT 287 & SR-136",Cookeville,TN,
3176,US-6 & SR-15,New Paris,IN,
3178,SR-167,Kent,WA,
